id,provider_name,provider_url,category,free_tier_model_count_estimate,free_tier_details,credit_card_required,no_credit_card_free_access,free_models_examples,free_tier_limits,api_access_available,web_ui_access,access_type,research_notes,research_date,source_urls
41,DeepSeek,https://deepseek.com,Frontier Provider,,"Figure 1.1: DeepSeek V4 core features and architectural innovations. The model utilizes a highly optimized MoE Model (Mixture-of-Experts), activating only 49.00B parameters per token for the Pro version, and 13.00B for the Flash version. This efficiency is what makes the generous free tier economically viable for the provider. Chart 1.1: Active Parameters Comparison (Billions) DeepSeek V3 37.00B D ** | MODEL | deepseek-v4-flash | deepseek-v4-pro | deepseek-v4-flash-vision-exp BASE URL (OpenAI Fo",No,Yes,"1, V4, 4, 9, 0, 3, V3, 7, v4, 8","free tier economically viable for the provider Free tier available with pay-as-you-go pricing""},""description"":""Free Claude API access and af What the DeepSe",Yes,Yes,Both,,2026-09-08,https://aifreeapi.com/en/posts/xai-grok-api-pricing; https://felloai.com/is-grok-ai-free
42,Mistral AI,https://mistral.ai,Frontier Provider,,"Mistral AI’s free tier isn’t a one-time coupon. It’s ongoing, rate-limited access to La Plateforme with roughly 1 request/second, about 500K tokens/minute, and up to about 1B tokens/month per model. Solo developers shipping a prototype, startup teams pressure-testing model quality, researchers benchmarking prompts and retrieval setups. The Mistral AI free tier is genuinely useful for all of that, verification yes May train on prompts yes Quota free_tier [rpm, tpm] “Limits (per-model): 1 request/",No,Yes,"1, 5, 0, 4, v1, 2, 3, GLM 5.2","rate limits apply rate limits free tier isn’t a one-time coupon free tier is genuinely useful for all of that, verification yes May train on prompts yes Quota free_tier [",Yes,Yes,Both,,2026-09-08,https://aicreditmart.com/ai-credits-providers/mistral-ai-free-tier-la-plateforme-access-guide-2026; https://modelhubby.com/providers/mistral; https://dreamprompting.com/models/mistral
43,Meta AI,https://ai.meta.com,Frontier Provider,,"Meta maintains client SDKs for Llama API in multiple languages, making it easy to access the API endpoints from application code in common programming languages, and from both client-side and server-side environments. Llama API clients are also available as libraries via popular package managers like pypi and npm . Find an SDK that matches your needs in the table below: Language | GitHub | Package Learn more Meta post image post image post image post image Products API API waitlist Login Models",No,Yes,"Llama 4, Llama 3",Free tier: Meta AI chatbot is free (no CC). Llama models downloadable free. No CC for Llama download or Meta AI chat.,Yes,Yes,Both,,2026-09-08,https://modelhubby.com/providers/mistral; https://aicreditmart.com/ai-credits-providers/mistral-ai-free-tier-la-plateforme-access-guide-2026
44,Nvidia NIM / build.nvidia.com,https://build.nvidia.com,Frontier Provider,,"NVIDIA NIM API Pricing 2026: Free Tier, 40 RPM & Real Cost **23513 NVIDIA NIM API pricing has no public per-token price. The hosted catalog at build.nvidia.com is free for prototyping through the NVIDIA Developer Program, capped by a community-acknowledged baseline of around 40 requests per minute (model- and traffic-dependent, not a published SLA). Production needs NVIDIA AI Enterprise from 1 NVIDIA NIM available models The NVIDIA NIM models routable through this free, OpenAI-compatible gateway",No,Yes,"2, 0, 6, 4, 3, 5, 1, llama-3.3, 7, llama-3.1","('40 RPM', 'RPM') Free Tier, 40 RPM & Real Cost **23513 NVIDIA NIM API pricing has no public per-token price free tier free tier Model id Pin it as meta/llama-3",Yes,Yes,Both,,2026-09-08,https://decodethefuture.org/en/nvidia-nim-api-pricing-limits-guide/; https://dreamprompting.com/models/nvidia; https://dreamprompting.com/blog/nvidia-nim-models
45,Tencent,https://tencent.com,Frontier Provider,,"Upon first-time activation of the Tencent HY service, the following APIs will grant a free call tier for your testing experience. The free quota will be provided using a one-time free resource package and deducted first during billing and settlement. The free resource package is valid for 1 year. If the count of API calls in the free resource package is not used up within 1 year after service acti Reynaldi Chernando Updated: July 8, 2026 On this page Getting Started Example 1: Basic chat with Hu",No,Yes,"1, 8, 2, 0, 6, 3, 4, Hunyuan 3","free tier gives 20 generations per day with the same modes and formats as the paid tier, which is enough to p",Yes,Yes,Both,,2026-09-08,https://forums.developer.nvidia.com/t/request-access-to-the-nvidia-nim-api-kira-ai-with-its-own-memory-architecture-educational-non-profit-project/371507; https://agentdeals.dev/vendor/nvidia-nim
46,Alibaba Cloud / Qwen,https://qwen.ai,Frontier Provider,,"If you opened your terminal one morning in mid-April and got hit with Qwen OAuth free tier was discontinued on 2026-04-15, you weren’t alone. That error broke a lot of workflows overnight, and the headlines didn’t help — “Free Qwen Is Dead” ran across Decrypt, Yahoo Tech, and others around mid-April. The framing made it sound like Alibaba had nuked the whole project. It didn’t. The reality is narr Free Qwen API access: what is actually free. Updated 2026-07-16 There are three honest routes to a ",No,Yes,"2, 0, 6, 4, 1, 5, 7, qwen3.7, 8, 3","free tier was discontinued on 2026-04-15, you weren’t alone",Yes,Yes,Both,,2026-09-08,https://inventivehq.com/blog/qwen-code-still-free-2026-shutdown; https://apisrouter.com/free-qwen-api; https://secondtalent.com/resources/every-qwen-ai-model-explained-compared
47,Baidu,https://baidu.com,Frontier Provider,,"Reynaldi Chernando Updated: May 7, 2026 On this page Getting Started Example 1: Basic Chat with ERNIE 4.5 Example 2: Complex Reasoning Example 3: Image Analysis List of supported models Conclusion Related Resources This tutorial will show you how to use Puter.js to access Baidu AI APIs and capabilities—including ERNIE 4.5, Qianfan OCR, and CoBuddy—for chat, reasoning, vision, and more, without any Qianfan's V2 OpenAI-compatible base is https://qianfan.baidubce.com/v2 , with Chat at https://qianf",No,Yes,"7, 2, 0, 6, 1, ERNIE 4, 5, 3, V2, v2",Free tier: Baidu AI Cloud has free tier for Qwen/ERNIE API calls. No CC for basic. Paid for volume.,Yes,Yes,Both,,2026-09-08,https://apisrouter.com/free-qwen-api; https://techjacksolutions.com/ai-tools/qwen/qwen-pricing/
48,MiniMax,https://minimax.chat,Frontier Provider,,"Minimax Free API: Integration Guide, Pricing & Code ** Summary What ‘free’ actually means for the MiniMax API Search ‘minimax free api’ and you’ll land on three different answers. MiniMax’s official docs mention free credits. OpenRouter lists an M2.5 model at $0 per token. Puter. What “free” actually means for the MiniMax API Search “minimax free api” and you’ll land on three different answers. M MiniMax Pricing 2026: API Costs, Token Plans & Credits Last verified: August 20, 2026 MiniMax pricin",No,Yes,"2, 5, 0, 6, 3, 1",Free tier: abab models with free trial credits. No CC for trial. Paid after.,Yes,Yes,Both,,2026-09-08,https://modellix.ai/blog/minimax-free-api; https://minimax-ai.chat/pricing/; https://developer.puter.com/tutorials/minimax-api-pricing
49,Moonshot AI,https://moonshot.ai,Frontier Provider,,Kimi Business API Research Download Careers EN 中文 Kimi Business API Research Download Careers EN 中文 Seeking the optimal conversion from energy to intelligence Try Kimi Try API Latest Research Our research team works toward AGI while sharing the latest research with the global open-source community. Get More Kimi K3 2026-07-16 ### Kimi K3 PerceptionBench 2026-07-16 ### PerceptionBench Kimi K2.6 202 AiSdk AiSdk Docs Resources AI Gateway Gateway AI SDK for Python is now in beta. Learn more. Menu AI,Yes,No,"3, 2, 0, 6, 7, 1","Free tier: Kimi chatbot free, API with free trial. No CC for basic. Paid for volume.",Yes,Yes,Both,,2026-09-08,https://agentdeals.dev/vendor/minimax; https://api.airforce/models/family/minimax/
50,Zhipu AI,https://zhipu.ai,Frontier Provider,,"You can also use GLM free in the browser, and two of the models cost nothing at all through the API. The newest model, GLM 5.3, is the one exception to all of this, because Z.ai has not published a per-token rate for it yet. This guide breaks down every way you pay for GLM in 2026: the free tier, the per-token API rates for each model, and the GLM Coding Plan subscription that starts at $18 a mont That is a mistake, because Z.ai quietly ships something rare: models that are genuinely free, not t",No,Yes,"GLM 5.3, 2, 0, 6, 1, 8, GLM-5.2, GLM-5.1, 4, GLM-5","free tier, the per-token API rates for each model, and the GLM Coding Plan subscription that starts at $18 a",Yes,Yes,Both,,2026-09-08,https://apisrouter.com/free-kimi-api; https://felloai.com/kimi-pricing/
51,01.AI,https://01.ai,Frontier Provider,,"01.AI (Yi) Free Tier, Signup Credits, and Limits — yangmao.ai Check 01.AI (Yi) free tier, signup credits, model limits, free API access, Mainland China accessibility, and alternatives. Updated by yangmao.ai. What is 01.AI's pricing model? 01.AI runs a three-layer model: the Yi open-weight models (Yi-34B, Yi-1.5, Yi-VL, Yi-Coder) are free to download on HuggingFace; the Yi API bills per token from a prepaid balance on two public SKUs (yi-lightning ¥0.99/1M, yi-vision-v2 ¥6/1M); and the enterprise",No,Yes,"0, 1, Yi-34, Yi-1.5, 9, v2, 6, 2, 4","rate limits, model support, OpenAI-compatible setup, Mainland China access notes, and lower-cost fallback opti Free Tier, Signup Credits, and Limits — yangmao free tier, signup credits, model limits, free API access, Mainland China accessibility, and alternatives free tier? Yes, in three senses",Yes,Yes,Both,,2026-09-08,https://www.free-model.com/models/z-ai-zhipu-ai/glm-4-6v-flash; https://yangmao.ai/en/providers/zhipu/no-credit-card
52,ByteDance / Doubao,https://doubao.com,Frontier Provider,,"What “Doubao API” actually means Doubao (豆包) is ByteDance’s consumer chatbot. Its international app is Dola, which used to be called Cici. Underneath both sits ByteDance’s Seed research family, and that family — not the chat app — is what an API gives you. Seed is the text side. Seedream generates images. Seedance generates video. Volcano Engine (its international brand is BytePlus) is the cloud t and GuidesJul 3, 20268,656 views8 min read Doubao API Pricing & TPM Cost Optimization Guide 2026 Ex",No,Yes,"3, 2, 0, 6, 8, 5, 7, 9, 4, 1","Free tier (chat, search, writing, image gen, voice/video chats) / Doubao Pro RMB 68/mo (27",Yes,Yes,Both,,2026-09-08,https://yangmao.ai/en/providers/yi/no-credit-card; https://noemium.com/tools/yi-api
53,Meta Llama (ai.meta.com),https://ai.meta.com,Open-Weight Model Provider,,"Doubao (ByteDance) API Pricing, Free Credits, and OpenAI ... Doubao (ByteDance) API free credits, pricing notes, rate limits, OpenAI SDK compatibility, relay options, and lower-cost alternatives. Section: > Doubao (ByteDance) API Pricing and Free Trial Get notified when Doubao (ByteDance) credits, pricing, or Mainland China access changes; compare official providers, API gateways, and alternativ",No,Yes,"2, 0, Llama 4, 1, 7, 8, 4, Llama-4",100% free and open-source. Download Llama 3.x from ai.meta.com or HuggingFace. No CC. Community license.,Yes,Yes,Both,,2026-09-08,https://yangmao.ai/en/providers/doubao/api-pricing; https://yangmao.ai/en/providers/doubao/free-tier
54,Google Gemma,https://ai.google.dev/gemma,Open-Weight Model Provider,,Best Free AI Models Guide 2026 — 29 Free LLMs & APIs You Can Use Today Marcus Webb · · Rated 9/10 · Free — all listed tools and models are available at zero cost with optional paid upgrades for higher usage 9 / 10 Ease of Use 8 Features 9.5 Value for Money 10 Performance 7.5 Support & Ecosystem 9 ✅ Pros • Complete zero-cost entry — every model and tool listed is genuinely free with no hidden paywa,No,Yes,"Gemma 4, 2, 0, 6, Gemini 3, Gemma4, 1, 9",100% free and open-source. Download Gemma models from HuggingFace. No CC. Google license.,Yes,Yes,Both,,2026-09-08,https://toolsdepth.com/reviews/awesome-free-models-guide-2026; https://toolchase.com/tool/llama-meta
55,Nvidia Nemotron,https://build.nvidia.com,Open-Weight Model Provider,,"Yes — these Gemma models run on genuine provider free tiers (served free by AI Horde, Cloudflare Workers AI, Google AI Studio, HuggingFace Router, NVIDIA NIM, NavyAI, Ollama Cloud, OpenRouter, Requesty, SEA-LION). Inference costs nothing; you only add a free provider key. ### Do I need a credit card? No. The providers here offer free tiers that work without a card. You add the free key once and Fr",No,Yes,"Nemotron 3, 5, 3, nemotron-3, 0, 4, 2, 6",100% free and open-source. Download Nemotron from HuggingFace/build.nvidia.com. No CC. NVIDIA license.,Yes,Yes,Both,,2026-09-08,https://freellmapi.co/free-gemma-api; https://freellm.net/models/openrouter/google-gemma-4-26b-a4b-it
56,Microsoft Phi,https://www.microsoft.com,Open-Weight Model Provider,,"Every model on NVIDIA NIM, and which ones are free The short answer NVIDIA’s hosted NIM endpoint serves 102 models from 25 vendors. Only 44 are NVIDIA’s own. The rest are Meta, Google, Mistral, DeepSeek, Microsoft, IBM, OpenAI and more, all behind one OpenAI-compatible URL. Read the list yourself at any time: curl https://integrate.api.nvidia.com/v1/models \ -H ""Authorization: Bearer $NVIDIA_API_",No,Yes,"5, 2, 0, 6, 1, 4, Phi-4, 3",100% free and open-source. Download Phi-3/Phi-4 from HuggingFace. No CC. Microsoft license.,Yes,Yes,Both,,2026-09-08,https://dreamprompting.com/blog/nvidia-nim-models; https://aimoneytools.net/blog/nvidia-nemotron-3-ultra-550b-review-2026
57,IBM Granite,https://www.ibm.com/granite,Open-Weight Model Provider,,"Build and scale AI faster with customizable, open-source models optimized for enterprise workloads, cost efficiency and flexible deployments. Open Open source under Apache 2.0, Granite ensures transparency, while enabling full customizability and deployment flexibility across any infrastructure. Dow",No,Yes,"2, 0, Granite 3.0, Granite 4.2, 5, 6, 3, 8",100% free and open-source. Download Granite from HuggingFace. No CC. Apache 2.0 license.,Yes,API only,API,,2026-09-08,
58,Intel Neural Chat,https://huggingface.co/Intel,Open-Weight Model Provider,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"1, 5, 2, 3, 6, 7, 4, 9",100% free and open-source. Download from HuggingFace. No CC. Intel license.,Yes,Yes,Both,,2026-09-08,
59,Stability AI,https://stability.ai,Open-Weight Model Provider,,"We're releasing Stable Audio 3.0 , a model family with open-weights music models that are trained on fully licensed data. You own your outputs and can distribute and commercialize them under the Stability AI Community License, or the Enterprise License for organizations with more than $1M in revenue",No,Yes,"3, 0, 1, 2, 6","100% free and open-source (SD 1.5, SDXL). Download from HuggingFace. No CC for open-source. SD 3 custom license.",Yes,Yes,Both,,2026-09-08,
60,EleutherAI,https://eleuther.ai,Open-Weight Model Provider,,"Models 2,755 [ EleutherAI/pythia-160m ](/EleutherAI/pythia-160m) [ EleutherAI/pythia-70m-deduped ](/EleutherAI/pythia-70m-deduped) [ EleutherAI/gpt-neo-2.7B ](/EleutherAI/gpt-neo-2.7B) [ EleutherAI/gpt-neox-20b ](/EleutherAI/gpt-neox-20b) [ EleutherAI/pythia-70m ](/EleutherAI/pythia-70m) [ Ele Pythi",No,Yes,"2, 7, 5, pythia-1, 6, 0, pythia-7, Pythia-1",rate limits,Yes,Yes,Both,,2026-09-08,
61,Community / HF Hub,https://huggingface.co/models,Open-Weight Model Provider,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"4, 5, 0","100% free and open-source. 100,000+ models on HuggingFace. No CC. Various licenses.",Yes,Yes,Both,,2026-09-08,
62,MosaicML (Mpt),https://www.mosaicml.com,Open-Weight Model Provider,,scripts/ - scripts to run LLM workloadsdata_prep/ - convert text data from original sources to StreamingDataset format train/ - train or finetune HuggingFace and MPT models from 125M - 70B parameterstrain/benchmarking - profile training throughput and MFU inference/ - convert models to HuggingFace d,No,Yes,"1, 2, 5, 7, 0, MPT-7, LLaMa 7",100% free and open-source. MPT-7B/30B models free download. No CC. Now Databricks.,Yes,Yes,Both,,2026-09-08,
63,TII Falcon,https://falconllm.tii.ae,Open-Weight Model Provider,,"Falcon LLM is a generative large language model (LLM) that helps advance applications and use cases to future-proof our world. Today the Falcon Perception, Falcon‑H1‑Tiny‑R, Falcon H1R 7B, Falcon-H1-Arabic, Falcon Arabic, Falcon-E, Falcon-H1, Falcon 3, Falcon Mamba 7B, Falcon 2, 180B, 40B, 7.5B, and",No,Yes,"1, 7, Falcon 3, Falcon 2, 8, 0, 4, 5",100% free and open-source. Falcon 1B/7B/40B/180B free download. No CC. TII license.,Yes,Yes,Both,,2026-09-08,
64,LLM360 / Amber,https://llm360.ai,Open-Weight Model Provider,,Amber Amber is an7B English language model with the LLaMA architecture. Amber is part of LLM360’s Pebble model series. 360 model checkpoints and the full data sequence are available under the Apache 2.0 license. Evaluations Metric Score ARC-C 42.57 HellaSwag 73.91 MMLU 28.53 TruthfulQA 43.67 W 0 lan,No,Yes,"7, 3, 6, 0, 2, 4, 5, 9",100% free and open-source. Amber models free download. No CC. LLM360 initiative.,Yes,Yes,Both,,2026-09-08,
65,CRM / Carper AI,https://carper.ai,Open-Weight Model Provider,,"spaces 3 Sort: Recently updated Paused Agents Featured 514 #### StableVicuna 🦙 CarperAI Apr 28, 2023 Build error 2 #### Pile V2 EDA 🎄 CarperAI Jan 9, 2023 Runtime error Agents #### Pilev2 Pipeline 📚 CarperAI Jan 7, 2023 models 14 Sort: Recently updated CarperAI/openai_summarize_tldr_rm_checkpoint Up",No,Yes,"3, 5, 1, 4, 2, 8, 0, V2",100% free and open-source. Carper AI models free. No CC. Alignment research.,Yes,Yes,Both,,2026-09-08,
66,Cerebras-GPT,https://www.cerebras.ai,Open-Weight Model Provider,,Cerebras-GPT 111M Check out our Blog Post and arXiv paper! Model Description The Cerebras-GPT family is released to facilitate research into LLM scaling laws using open architectures and data sets and demonstrate the simplicity of and scalability of training LLMs on the Cerebras software and hardwar,No,Yes,"GPT 111, 7, 1, GPT-111, 0, GPT-256, 2, 5",100% free and open-source. Cerebras-GPT models free. No CC. HuggingFace.,Yes,Yes,Both,,2026-09-08,
67,GLM-4 / BigModel,https://bigmodel.cn,Open-Weight Model Provider,,"GLM-4.5, an Open, Agentic Contender Zhipu AI (Z.ai) releases open-weights GLM-4.5 models that perform comparably to the latest from Claude and DeepSeek Input/output: Text in (up to 128,000 tokens), text out (up to 96,000 tokens) Architecture: Mixture-of-experts (MoE) transformer. GLM-4.5: 355 billio",No,Yes,"GLM-4.5, 1, 2, 8, 0, 9, 6, 3",Partially open-source. GLM-4 models free for research. No CC for research use. Some via API.,Yes,Yes,Both,,2026-09-08,
68,MiniMax abab,https://www.minimaxi.com,Open-Weight Model Provider,,"never existed together in one free model: frontier-level coding, a genuine 1 million token context window, and native understanding of text, images, and video all at once. Vendor-reported benchmarks put it ahead of GPT-5.5 and Gemini 3.1 Pro on real-world software engineering. The weights are live o",No,Yes,"1, GPT-5.5, Gemini 3.1, GLM-5, 2, 8, 5, 0",Partially open-source. abab models free trial. No CC. API paid.,Yes,Yes,Both,,2026-09-08,
69, DeepSeek open weights,https://deepseek.com,Open-Weight Model Provider,,"A Clear Look at Licensing in 2026 Guides Short answer, up front: yes, DeepSeek open source releases are real, and the current generation — DeepSeek V4 — ships both weights and code under the MIT License. But “open source” in AI is a term people use loosely, and older DeepSeek models (V3 base, Coder",No,Yes,"DeepSeek R1, V3, 1, 2, V2, 5, 6, 8","Free tier: limited access/usage for basic tier, no CC for sign-up. Check website for details.",Yes,Yes,Both,,2026-09-08,https://deepseekai.guide/guides/deepseek-open-source; https://aiwiki.ai/wiki/open_weight_license_comparison
70,Yandex GPT / ALICE,https://yandex.com,Open-Weight Model Provider,,"YandexGPT in 2026: A Review of Russia’s AI Platform for Business 12 min read YandexGPT is a family of generative language models from Yandex, available through Alice, Yandex Browser, the Yandex Cloud API, and other ecosystem services. By February 2026, Yandex introduced the new Alice AI model family",No,Yes,"2, 0, 6, 1, 4, 8, 5, 9",Partially open-source. ALICE models by Yandex. Free download. No CC.,Yes,Yes,Both,,2026-09-08,
71,Huawei Pangu,https://www.huawei.com,Open-Weight Model Provider,,"August 4, 2026 0 51 Facebook X Pinterest [WhatsApp](https://api.whatsapp.com/send?text=Huawei+Open+Sources+505B+openPangu+AI%2C+Drops+Weights+And+Code %0A%0A https://www.opensourceforu.com/2026/08/huawei-open-sources-505b-openpangu-ai-drops-weights-and-code/ ""WhatsApp"") Huawei Huawei Huawei has rele",No,Yes,"4, 2, 0, 6, 5, 1, 8, 7",Partially open-source. Pangu models partially available. No CC for research. Some via API.,Yes,Yes,Both,,2026-09-08,
72,OpenLM,https://openlm.ai,Open-Weight Model Provider,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"2, 3, 0, 1, 5, V3, 6, 7",100% free and open-source. OpenLM models free download. No CC. Research models.,Yes,Yes,Both,,2026-09-08,
73,Ollama,https://ollama.com,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"2, 0, 6, 3, 7, 1, 8, 5",100% free open-source. Run any GGUF model locally. No CC. Ollama app free. Library of 1000+ models.,Yes,Yes,Both,,2026-09-08,
74,LM Studio,https://lmstudio.ai,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"2, 0, 6, 5, 3, 1, 4",Free tier: Unlimited (runs locally) - Free API trial: Unlimited - Access: relatively dire,Yes,Yes,Both,,2026-09-08,https://medium.com/@nishilbhave/lm-studio-in-2026-download-models-run-local-llms-vs-ollama-b30567df17f8; https://maketocreate.com/lm-studio-in-2026-download-models-run-local-llms-vs-ollama; https://aimoneytools.net/blog/how-to-use-lm-studio
75,GPT4All,https://gpt4all.io,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"4, 5, 3, 1",100% free open-source. Download and run locally. No CC. 1000+ models. MIT license.,Yes,Yes,Both,,2026-09-08,https://github.com/bon3less/oobabooga_text-generation-webui; https://github.com/oobabooga/text-generation-webui
76,KoboldAI,https://koboldai.org,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"8, 2, 0, 6, 3, 5, 1",100% free open-source. Run locally. No CC. Creative writing focus.,Yes,Yes,Both,,2026-09-08,https://github.com/matthewbcool/jan; https://convly.ai/jan-ai-explained
77,Text Generation WebUI (oobabooga),https://github.com/oobabooga/text-generation-webui,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"1, 2, 3, 4, 8, 0, 6, 9",100% free open-source. Run locally with any model. No CC. Supports 1000+ models.,Yes,Yes,Both,,2026-09-08,
78,Jan AI,https://jan.ai,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama3, mistral, gemma, phi, vicuna, wizardlm, dolphin, llava",100% free open-source. Run locally. No CC. Community models.,Yes,API only,API,,2026-09-08,https://www.zylon.ai/private-gpt; https://github.com/zylon-ai/private-gpt/blob/main/README.md?plain=1
79,KTransformers,https://github.com/K就近Transformers,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, mistral, qwen, any gguf model",100% free open-source. CPU inference optimization. No CC. Any Transformers model.,Yes,API only,API,,2026-09-08,
80,llamafile,https://github.com/Mozilla-Ocho/llamafile,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"any llama.cpp compatible model: llama, mistral, gemma, phi",100% free open-source. Mozilla. Run GGUF files directly. No CC. MIT license.,Yes,API only,API,,2026-09-08,
81, MLC Chat / WebLLM,https://webllm.mlc.ai,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"Any local model: Llama, Mistral, DeepSeek, Qwen, Gemma, SDXL, Flux, custom via local runtime",100% free open-source. Run locally. No CC. Pay only for your own hardware/electricity.,Yes,API only,API,,2026-09-08,
82,私人 GPT / Private GPT,https://github.com/zylon-ai/private-gpt,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"GPT-4-All, Llama, Mistral, any local LLM via llama-index + local embeddings (chroma, FAISS)","100% free open-source. Run locally with any model you download. No CC, no API costs.",Yes,API only,API,,2026-09-08,
83,Candle (HuggingFace),https://github.com/huggingface/candle,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, bert, stable-diffusion, whisper,t5",100% free open-source. C++/Rust ML framework. No CC. HuggingFace project.,Yes,API only,API,,2026-09-08,https://github.com/FurkanGozukara/Stable-Diffusion/wiki/The-Secret-to-FREE-Local-AI-Image-Generation-is-Finally-Here; https://huggingface.co/blog/MonsterMMORPG/the-secret-to-free-local-ai-image-generation-is
84,Stable Diffusion WebUI (Automatic1111),https://github.com/AUTOMATIC1111/stable-diffusion-webui,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"SD 1.5, SD 2.1, SDXL, SD Turbo, LCM, custom checkpoints, LoRA, ControlNet, ESRGAN upscalers, any SD-compatible model","100% free open-source. Run locally with any model you download. No CC. Community models from Civitai, HuggingFace free.",Yes,API only,API,,2026-09-08,https://github.com/darkpalladin-eastz19/InvokeAI; https://localaimaster.com/blog/invokeai-guide
85,ComfyUI,https://github.com/comfyanonymous/ComfyUI,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"SD 1.5, SDXL, Flux, SD Turbo, LCM, custom nodes, ControlNet, IP-Adapter, InstantID, ReActor, any CN-compatible model",100% free open-source. Node-based UI for SD. No CC. Any model from Civitai/HF free.,Yes,API only,API,,2026-09-08,https://macbed.com/diffusionbee; https://nemovideo.com/es-ES/alternative/diffusionbee
86,SwarmUI,https://github.com/mcmonkeyprojects/SwarmUI,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"sd1.5, sdxl, sd-turbo, lcm, controlnet",100% free open-source. SD UI. No CC. Run locally with any model.,Yes,API only,API,,2026-09-08,https://drawthings.ai/; https://www.promptquorum.com/power-local-llm/draw-things-review
87,InvokeAI,https://github.com/invoke-ai/InvokeAI,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"sd1.5, sdxl, sd-turbo, lcm",100% free open-source. SD image generation. No CC. Run locally.,Yes,API only,API,,2026-09-08,
88,DiffusionBee,https://github.com/ внимание/DiffusionBee,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"sd1.5, sd2.1, sdxl",100% free open-source. macOS SD. No CC. Run locally.,Yes,API only,API,,2026-09-08,
89,Draw Things,https://drawthings.ai,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"sd1.5, sd2.1, sdxl, lcm",100% free open-source. iOS/macOS image gen. No CC. Run locally.,Yes,API only,API,,2026-09-08,
90,MLC LLM mobile,https://mlc.ai,Local / Self-Hosted Apps,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama2, llama3, vicuna, bert, whisper",100% free open-source. Mobile LLMs. No CC. Any MLC-compatible model.,Yes,API only,API,,2026-09-08,
91,vLLM,https://github.com/vllm-project/vllm,Local / Self-Hosted Infra,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, mistral, gemma, qwen, any HuggingFace model",100% free open-source. High-throughput LLM serving. No CC. Apache 2.0.,Yes,API only,API,,2026-09-08,
92,TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,Local / Self-Hosted Infra,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, mistral, gemma, phi, any NVIDIA optimized model",100% free open-source. NVIDIA GPU inference. No CC. Apache 2.0.,Yes,API only,API,,2026-09-08,
93, llama.cpp / gguf,https://github.com/ggerganov/llama.cpp,Local / Self-Hosted Infra,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"Any local model: Llama, Mistral, DeepSeek, Qwen, Gemma, SDXL, Flux, custom via local runtime",100% free open-source. Run locally. No CC. Pay only for your own hardware/electricity.,Yes,API only,API,,2026-09-08,
94,exllamav2,https://github.com/turboderp/exllamav2,Local / Self-Hosted Infra,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, mistral, gemma, any hf model in exl2 format",100% free open-source. Efficient GPU inference. No CC. Run any HF model.,Yes,API only,API,,2026-09-08,https://aliteq.com/exllamav2-vs-llama-cpp-2026-which-to-use; https://runlocalai.co/tools/exllamav2
95,text-generation-inference (HGTF),https://github.com/huggingface/text-generation-inference,Local / Self-Hosted Infra,,Free download / self-hosted. No cloud API credit card needed.,No,Yes,"llama, mistral, gemma, falcon, starcoder, any HuggingFace model",100% free open-source (Apache 2.0). HF's LLM serving framework. No CC. Run any HF model.,Yes,API only,API,,2026-09-08,https://huggingface.co/docs/inference-providers/en/tasks/text-generation; http://huggingface.co/docs/inference-providers/index
